config,draft,k,regime,T_mean_s,T_median_s,R_tok_mean,TTFT_mean_ms,TPOT_mean_ms,total_tokens,n_samples,alpha,B_eff,total_proposed,total_accepted,n_verify_steps,S,gsm8k,mmlu,cnndm,delta_gsm8k,delta_mmlu,delta_cnndm,gpu_graph_mode,gpu_graph_capture_rate
0.5B_k4_deterministic,0.5B,4,deterministic,3.721,2.7176,34.09,102.35,29.06,124800,1000,0.4212,1.66,185906,78310,47093,3.0674,59.33,56.6,20.88,0.33,0.0,-0.02,pending,0.0
0.5B_k4_stochastic,0.5B,4,stochastic,3.9631,3.1474,32.06,105.26,30.89,124800,1000,0.408,1.61,189617,77371,48030,2.9394,58.0,56.6,20.35,1.67,-0.2,-0.03,pending,0.0
0.5B_k8_deterministic,0.5B,8,deterministic,4.6508,3.3292,27.77,162.76,36.73,124800,1000,0.3515,2.72,261089,91784,33711,2.4542,59.33,56.6,20.85,0.33,0.0,-0.05,pending,0.0
0.5B_k8_stochastic,0.5B,8,stochastic,4.8411,3.8284,26.78,165.95,38.04,124800,1000,0.3444,2.67,265078,91303,34182,2.4063,57.33,56.8,20.0,1.0,0.0,-0.38,pending,0.0
0.5B_k16_deterministic,0.5B,16,deterministic,6.3234,4.2512,21.9,277.43,49.34,124800,1000,0.2539,3.76,390550,99162,26370,1.805,59.33,56.6,20.89,0.33,0.0,-0.01,pending,0.0
0.5B_k16_stochastic,0.5B,16,stochastic,6.4059,5.3925,21.51,278.85,49.81,124800,1000,0.2516,3.73,393642,99054,26523,1.8185,56.67,56.6,20.19,0.34,-0.2,-0.19,pending,0.0
1.5B_k4_deterministic,1.5B,4,deterministic,3.9734,2.9698,31.67,114.31,31.18,124800,1000,0.4581,1.81,176279,80747,44641,2.8726,58.67,56.6,20.87,-0.33,0.0,-0.03,pending,0.0
1.5B_k4_stochastic,1.5B,4,stochastic,4.1813,3.095,30.21,116.76,32.68,124800,1000,0.4421,1.75,180330,79730,45658,2.786,58.0,56.8,20.04,1.67,0.0,-0.34,pending,0.0
1.5B_k8_deterministic,1.5B,8,deterministic,4.7427,3.7268,26.78,179.94,37.6,124800,1000,0.3929,3.04,240443,94463,31036,2.4066,59.0,56.6,20.84,0.0,0.0,-0.06,pending,0.0
1.5B_k8_stochastic,1.5B,8,stochastic,4.9688,4.0316,25.59,184.02,39.41,124800,1000,0.3822,2.96,245530,93835,31661,2.3444,60.0,57.0,19.91,3.67,0.2,-0.47,pending,0.0
1.5B_k16_deterministic,1.5B,16,deterministic,6.3172,5.0498,21.49,313.08,49.4,124800,1000,0.2968,4.39,344694,102290,23288,1.8068,59.67,56.6,20.87,0.67,0.0,-0.03,pending,0.0
1.5B_k16_stochastic,1.5B,16,stochastic,6.5544,4.845,20.7,319.72,51.36,124800,1000,0.2928,4.36,348908,102146,23441,1.7773,57.33,56.6,20.02,1.0,-0.2,-0.36,pending,0.0
