mode,k,max_new_tokens,prompt_bucket,n,prompt_tokens_mean,speedup_mean,alpha_mean,spec_latency_mean_s,baseline_latency_mean_s,draft_share_mean,verify_share_mean,other_share_mean
Deterministic,2,12,long,2,284.0,0.6696148011312881,0.5285714285714286,0.464,0.30635,48.45881542277141,49.993694764745634,1.5474898124829564
Deterministic,2,12,medium,2,40.0,0.5853958363925511,0.3119047619047619,0.5107,0.2985,53.27202186704903,44.81419146912517,1.913786663825796
Deterministic,2,12,short,2,10.0,0.8986116112511503,0.5666666666666667,0.4676,0.4308,51.28723123043173,45.164939500595715,3.547829268972568
Deterministic,2,32,long,2,284.0,0.7555957314638813,0.4696969696969697,1.0364,0.78305,60.167539968180385,37.845018539098206,1.9874414927214126
Deterministic,2,32,medium,2,40.0,0.6442799098385661,0.2620533182076007,1.2324000000000002,0.79375,63.92411403429739,34.00621104635631,2.069674919346303
Deterministic,2,32,short,2,10.0,0.8882568479985957,0.6226190476190476,0.8854500000000001,0.78545,62.20782088561483,35.88466368720137,1.9075154271838095
Deterministic,2,64,long,2,284.0,0.7231205120212194,0.39507643438554696,2.1738,1.5598,66.8106072730731,31.206244823943262,1.983147902983631
Deterministic,2,64,medium,2,40.0,0.73964795729099,0.3335897435897436,2.12345,1.5695999999999999,67.29956513891699,30.63709264076294,2.0633422203200613
Deterministic,2,64,short,2,10.0,0.9123752046678348,0.5542377398720683,1.7253500000000002,1.56365,66.40163076053092,31.555414376831337,2.0429548626377505
Deterministic,4,12,long,2,284.0,0.6219519228198402,0.5814479638009049,0.49765,0.3064,56.35227162683236,42.43752162161546,1.2102067515521844
Deterministic,4,12,medium,2,40.0,0.5426951149225171,0.3857142857142857,0.57965,0.30095,62.10123435261601,36.73515475632366,1.163610891060333
Deterministic,4,12,short,2,10.0,0.5717914884282497,0.4381270903010034,0.54345,0.29869999999999997,60.80113333753512,37.942830792838045,1.2560358696268406
Deterministic,4,32,long,2,284.0,0.8188572139579151,0.6388888888888888,1.0008,0.79555,69.91851302501901,28.917653100794126,1.1638338741868557
Deterministic,4,32,medium,2,40.0,0.4983647885779597,0.23892442549158965,1.59425,0.7941,75.60189843702479,23.097914215403055,1.3001873475721677
Deterministic,4,32,short,2,10.0,0.5216703386471075,0.27783683231464257,1.5335999999999999,0.78465,75.85183777339724,22.829218759870024,1.318943466732749
Deterministic,4,64,long,2,284.0,0.6401503031745679,0.3778280542986425,2.5121,1.5817999999999999,77.45364350111595,21.31805621682291,1.2283002820611546
Deterministic,4,64,medium,2,40.0,0.5782637341493955,0.29525987224157957,2.73985,1.5810499999999998,79.38008031234165,19.375360579533414,1.2445591081249368
Deterministic,4,64,short,2,10.0,0.5873146612358238,0.30623543123543123,2.7923999999999998,1.57945,79.50441322519038,19.259338699227897,1.23624807558173
Deterministic,8,12,long,2,284.0,0.5554767384524872,0.5146198830409356,0.55585,0.30845,61.97814160966371,37.22790164325318,0.7939567470831133
Deterministic,8,12,medium,2,40.0,0.4491589180050719,0.3435672514619883,0.7332000000000001,0.30110000000000003,69.36999154691462,29.78044484361792,0.8495636094674578
Deterministic,8,12,short,2,10.0,0.5619927186639475,0.48830409356725146,0.5323,0.2989,64.50989494112638,34.635307432717056,0.8547976261565701
Deterministic,8,32,long,2,284.0,0.753020274526943,0.6068181818181818,1.09205,0.82205,76.08140207048646,23.250745969044203,0.667851960469335
Deterministic,8,32,medium,2,40.0,0.3792543286901481,0.20409745293466225,2.1211,0.7967500000000001,83.78916406732759,15.411336381240584,0.7994995514318315
Deterministic,8,32,short,2,10.0,0.5856204435631328,0.4185267857142857,1.3749,0.80105,81.60021604860228,17.702564933043526,0.6972190183541976
Deterministic,8,64,long,2,284.0,0.8441809168312251,0.6443181818181818,1.8862999999999999,1.58955,83.02805673821368,16.324729798982005,0.647213462804321
Deterministic,8,64,medium,2,40.0,0.4102458145587894,0.2235744680851064,4.138199999999999,1.57515,87.10540300379496,12.144174424156242,0.7504225720487948
Deterministic,8,64,short,2,10.0,0.49743278414144754,0.2989816149963951,3.18485,1.58285,86.40211503197031,12.865875142622885,0.7320098254068155
