task,sample_id,repeat,max_new_tokens,bucket,latency_s,draft_elapsed_s,verify_elapsed_s,ttft_ms,num_tokens
gsm8k,gsm8k_2,0,16,short,1.1988,0.981714,0.166399,465.39,16
gsm8k,gsm8k_2,0,64,medium,3.9158,3.314027,0.572184,189.6,64
gsm8k,gsm8k_2,0,160,long,7.8895,6.713307,1.118705,190.77,160
gsm8k,gsm8k_11,0,16,short,0.9012,0.707072,0.184771,193.29,16
gsm8k,gsm8k_11,0,64,medium,3.3588,2.839313,0.494946,190.05,64
gsm8k,gsm8k_11,0,160,long,7.2217,6.130283,1.039126,191.57,160
gsm8k,gsm8k_15,0,16,short,1.4891,1.214007,0.261997,190.98,16
gsm8k,gsm8k_15,0,64,medium,4.789,4.041938,0.709032,191.74,64
gsm8k,gsm8k_15,0,160,long,9.0311,7.660659,1.30216,192.6,160
gsm8k,gsm8k_21,0,16,short,0.872,0.674603,0.188355,193.71,16
gsm8k,gsm8k_21,0,64,medium,3.1066,2.612989,0.470376,191.79,64
gsm8k,gsm8k_21,0,160,long,8.0166,6.799001,1.158778,190.05,160
gsm8k,gsm8k_22,0,16,short,1.1821,0.985301,0.187503,192.49,16
gsm8k,gsm8k_22,0,64,medium,3.6891,3.113266,0.548116,190.6,64
gsm8k,gsm8k_22,0,160,long,7.7441,6.602356,1.084877,191.88,160
gsm8k,gsm8k_32,0,16,short,1.4251,1.176392,0.23683,191.63,16
gsm8k,gsm8k_32,0,64,medium,4.4326,3.747486,0.650119,190.44,64
gsm8k,gsm8k_32,0,160,long,9.2365,7.848765,1.320797,192.87,160
mmlu,mmlu_abstract_algebra_0,0,16,short,0.681,0.567542,0.10839,190.21,16
mmlu,mmlu_abstract_algebra_0,0,64,medium,2.9172,2.450652,0.444719,190.3,64
mmlu,mmlu_abstract_algebra_0,0,160,long,8.0921,6.834638,1.196265,192.45,160
mmlu,mmlu_abstract_algebra_1,0,16,short,0.7882,0.647054,0.134608,192.54,16
mmlu,mmlu_abstract_algebra_1,0,64,medium,3.7304,3.151983,0.550012,210.01,64
mmlu,mmlu_abstract_algebra_1,0,160,long,8.5244,7.190708,1.269028,191.02,160
mmlu,mmlu_abstract_algebra_2,0,16,short,0.9568,0.787288,0.160723,192.73,16
mmlu,mmlu_abstract_algebra_2,0,64,medium,3.0565,2.561984,0.471138,191.34,64
mmlu,mmlu_abstract_algebra_2,0,160,long,7.2413,6.110232,1.075741,191.7,160
mmlu,mmlu_abstract_algebra_3,0,16,short,1.1134,0.917427,0.185619,191.59,16
mmlu,mmlu_abstract_algebra_3,0,64,medium,4.2726,3.592241,0.647376,191.01,64
mmlu,mmlu_abstract_algebra_3,0,160,long,7.394,6.279251,1.061186,189.09,160
mmlu,mmlu_abstract_algebra_4,0,16,short,1.3305,1.112207,0.208189,190.24,16
mmlu,mmlu_abstract_algebra_4,0,64,medium,3.8603,3.282508,0.549866,207.77,64
mmlu,mmlu_abstract_algebra_4,0,160,long,8.025,6.810355,1.156664,188.55,160
mmlu,mmlu_abstract_algebra_5,0,16,short,1.3259,1.109388,0.206668,189.25,16
mmlu,mmlu_abstract_algebra_5,0,64,medium,3.7187,3.125238,0.565114,188.65,64
mmlu,mmlu_abstract_algebra_5,0,160,long,7.9256,6.681591,1.184054,191.29,160
cnndm,cnndm_3,0,16,short,1.1865,0.989568,0.188057,194.61,16
cnndm,cnndm_3,0,64,medium,3.5547,2.958622,0.567103,193.7,64
cnndm,cnndm_3,0,160,long,9.7723,8.286252,1.41523,195.11,160
cnndm,cnndm_31,0,16,short,1.5532,1.007093,0.536883,634.66,16
cnndm,cnndm_31,0,64,medium,5.8608,4.679537,1.140992,608.71,64
cnndm,cnndm_31,0,160,long,12.3745,10.219709,2.068833,616.44,160
cnndm,cnndm_70,0,16,short,0.9239,0.778379,0.139251,196.54,16
cnndm,cnndm_70,0,64,medium,3.4921,2.966654,0.500437,193.46,64
cnndm,cnndm_70,0,160,long,8.3626,7.11096,1.192493,198.11,160
cnndm,cnndm_165,0,16,short,0.7764,0.556301,0.215055,288.45,16
cnndm,cnndm_165,0,64,medium,3.8781,3.214192,0.637488,284.53,64
cnndm,cnndm_165,0,160,long,10.0394,8.439328,1.528429,293.95,160
cnndm,cnndm_297,0,16,short,0.7255,0.58253,0.137864,219.78,16
cnndm,cnndm_297,0,64,medium,4.0077,3.36137,0.617487,217.78,64
cnndm,cnndm_297,0,160,long,9.2081,7.801791,1.341013,218.7,160
cnndm,cnndm_339,0,16,short,0.7552,0.547351,0.200134,230.87,16
cnndm,cnndm_339,0,64,medium,3.4776,2.904613,0.545522,228.67,64
cnndm,cnndm_339,0,160,long,9.963,8.459433,1.426894,229.31,160
