mode,k,max_new_tokens,prompt_bucket,n,prompt_tokens_mean,speedup_mean,alpha_mean,spec_latency_mean_s,baseline_latency_mean_s,draft_share_mean,verify_share_mean,other_share_mean
Deterministic,2,12,long,2,284.0,0.8109496341950937,0.5285714285714286,0.6489499999999999,0.5215000000000001,52.42260491905557,46.35764866778362,1.2197464131608007
Deterministic,2,12,medium,2,40.0,0.6931986187818506,0.3119047619047619,0.7011000000000001,0.48414999999999997,58.448203155275735,40.15620771576683,1.3955891289574311
Deterministic,2,12,short,2,10.0,1.0425764372362334,0.5166666666666666,0.7586999999999999,0.81765,54.33073032211261,41.15300574808559,4.516263929801798
Deterministic,2,32,long,2,284.0,1.036476719756148,0.4696969696969697,1.4566,1.50755,63.19844040499349,35.34444704280105,1.457112552205459
Deterministic,2,32,medium,2,40.0,0.6093457403750275,0.2620533182076007,2.33465,1.4222000000000001,74.0063671977361,24.557193020408995,1.4364397818549033
Deterministic,2,32,short,2,10.0,0.9192985534095283,0.6833333333333333,1.27645,1.1732999999999998,66.362429671489,32.170442513935896,1.4671278145751074
Deterministic,2,64,long,2,284.0,0.8308050016407464,0.39507643438554696,2.8649,2.3539,71.70552209538845,26.819934460161377,1.4745434444501828
Deterministic,2,64,medium,2,40.0,0.9068034372007084,0.3335897435897436,2.9707,2.6866000000000003,71.84799554230345,26.512773246840048,1.6392312108564893
Deterministic,2,64,short,2,10.0,1.0344510210805598,0.6320438623210478,2.27705,2.3076999999999996,70.85703029079107,27.504015455590427,1.6389542536185056
Deterministic,4,12,long,2,284.0,0.6848482800730613,0.5814479638009049,0.6533,0.44345,57.80384946918653,41.264577713679564,0.9315728171339039
Deterministic,4,12,medium,2,40.0,0.5874256098852849,0.3857142857142857,0.76145,0.4253,65.10303979378538,33.931414456833345,0.9655457493812775
Deterministic,4,12,short,2,10.0,0.6807695705628289,0.5889423076923077,0.68275,0.46340000000000003,60.639920293884465,38.51435148370229,0.8457282224132393
Deterministic,4,32,long,2,284.0,0.9463758533870767,0.6105442176870748,1.5575,1.35195,73.30037970296065,25.716121550745463,0.9834987462938788
Deterministic,4,32,medium,2,40.0,0.5218328492959363,0.23892442549158965,2.1497,1.1178,78.26781165543606,20.712050224884504,1.0201381196794403
Deterministic,4,32,short,2,10.0,0.7477636642701044,0.41788164665523153,1.6017000000000001,1.1846999999999999,77.58795416362618,21.447257364573495,0.9647884718003269
Deterministic,4,64,long,2,284.0,0.7378081940700226,0.37362637362637363,3.47275,2.5282,79.94489627065201,19.073657436444094,0.9814462929038916
Deterministic,4,64,medium,2,40.0,0.5587736840122075,0.2601626016260163,4.0525,2.2621,81.58653438706334,17.347850286685464,1.0656153262512005
Deterministic,4,64,short,2,10.0,0.7823504342740492,0.4799382716049383,2.96635,2.3178,80.62871586102989,18.37875471403447,0.992529424935638
Deterministic,8,12,long,2,284.0,0.624032041627052,0.5146198830409356,0.9871000000000001,0.6136999999999999,59.247579411705374,40.15538892946242,0.597031658832215
Deterministic,8,12,medium,2,40.0,0.42265285696740407,0.3435672514619883,1.31775,0.48645,74.25102998853816,25.143612569767466,0.6053574416943649
Deterministic,8,12,short,2,10.0,0.6188459074944475,0.4605263157894737,0.7421,0.45935,64.66355685858076,34.64693566057634,0.6895074808428998
Deterministic,8,32,long,2,284.0,0.7875237345087867,0.6068181818181818,1.66695,1.31,75.3518973807096,24.093295082241372,0.5548075370490341
Deterministic,8,32,medium,2,40.0,0.3804242182183615,0.20409745293466225,3.2455,1.2305000000000001,85.27347898843021,14.13672053199983,0.5898004795699605
Deterministic,8,32,short,2,10.0,0.6653580232883398,0.5021306818181819,2.06435,1.3541,81.81582787480939,17.66955384803805,0.5146182771525583
Deterministic,8,64,long,2,284.0,0.9017663815847792,0.6443181818181818,2.75405,2.4633000000000003,84.06122301225352,15.42387835532285,0.5148986324236393
Deterministic,8,64,medium,2,40.0,0.45798732480684623,0.2235744680851064,6.68125,2.6736500000000003,89.44565181429347,9.99839064842692,0.5559575372796179
Deterministic,8,64,short,2,10.0,0.5926002042810781,0.39144736842105265,4.2418,2.4273,86.607289564243,12.817995394512888,0.5747150412441026
