sample_id,baseline_latency_s,spec_latency_s,extra_vs_baseline_s,is_slower_than_baseline,speedup_baseline_over_spec,alpha,B_eff,n_verify_steps,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,draft_share_of_spec,verify_share_of_spec,other_share_of_spec
fast_en_001,0.2771,0.289,0.011899999999999966,1,0.9588235294117649,0.6154,2.0,4.0,0.194278,0.088519,0.006202999999999972,0.672242214532872,0.30629411764705883,0.02146366782006911
fast_en_002,0.2757,0.3824,0.10670000000000002,1,0.7209728033472803,0.4444,1.6,5.0,0.263228,0.110335,0.008836999999999998,0.688357740585774,0.28853294979079497,0.023109309623430954
fast_en_003,0.2752,0.4969,0.2217,1,0.5538337693700945,0.2609,0.86,7.0,0.336133,0.150304,0.010463,0.6764600523244114,0.302483397061783,0.021056550613805593
fast_en_004,0.2873,0.3651,0.07779999999999998,1,0.786907696521501,0.4118,1.4,5.0,0.248562,0.108889,0.007648999999999975,0.6808052588331964,0.29824431662558204,0.020950424541221518
fast_en_005,0.2731,0.3185,0.045399999999999996,1,0.8574568288854003,0.6,2.25,4.0,0.223699,0.088129,0.006671999999999997,0.7023516483516483,0.27670015698587125,0.02094819466248037
fast_en_006,0.2732,0.3981,0.12490000000000001,1,0.6862597337352424,0.4211,1.6,5.0,0.279171,0.111401,0.007528000000000007,0.7012584777694046,0.27983170057774426,0.018909821652851058
fast_en_007,0.2746,0.288,0.013399999999999967,1,0.9534722222222223,0.6154,2.0,4.0,0.192444,0.088301,0.00725499999999997,0.6682083333333334,0.3066006944444445,0.025190972222222118
fast_en_008,0.2745,0.3033,0.028799999999999992,1,0.9050445103857567,0.6429,2.25,4.0,0.209204,0.088231,0.005865000000000009,0.6897593142103527,0.29090339597757997,0.01933728981206729
fast_en_009,0.2726,0.3176,0.044999999999999984,1,0.8583123425692696,0.6,2.25,4.0,0.22067,0.090152,0.006777999999999992,0.6948047858942066,0.2838539042821159,0.02134130982367756
fast_en_010,0.2753,0.5341,0.25880000000000003,1,0.5154465455907133,0.2083,0.71,7.0,0.369518,0.151006,0.013576000000000005,0.6918517131623292,0.28272982587530426,0.025418460962366607
