sample_id,profile,baseline_latency_s,spec_latency_s,extra_vs_baseline_s,is_slower_than_baseline,speedup_baseline_over_spec,alpha,B_eff,n_verify_steps,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,timing_remainder_s,draft_share_of_spec,verify_share_of_spec,other_share_of_spec
fast_en_001,fp16_target_fp16_draft,0.5559,0.3324,-0.22349999999999998,0,1.6723826714801444,0.6154,2.0,4.0,0.195278,0.092187,0.04493499999999996,0.0,0.5874789410348977,0.27733754512635383,0.13518351383874838
fast_en_002,fp16_target_fp16_draft,0.2721,0.3824,0.11030000000000001,1,0.7115585774058577,0.4444,1.6,5.0,0.264749,0.108981,0.008670000000000011,0.0,0.6923352510460251,0.28499215481171547,0.02267259414225944
fast_en_003,fp16_target_fp16_draft,0.2729,0.4941,0.2212,1,0.5523173446670714,0.2609,0.86,7.0,0.334976,0.148709,0.01041499999999998,0.0,0.6779518316130339,0.30096943938473997,0.02107872900222623
fast_en_004,fp16_target_fp16_draft,0.2745,0.3644,0.08989999999999998,1,0.7532930845225028,0.4118,1.4,5.0,0.247081,0.107834,0.009485000000000007,0.0,0.6780488474204172,0.29592206366630075,0.026029088913282126
fast_en_005,fp16_target_fp16_draft,0.2702,0.3133,0.04310000000000003,1,0.8624321736354931,0.6,2.25,4.0,0.220013,0.087222,0.006065000000000043,0.0,0.7022438557293328,0.278397701883179,0.019358442387488167
fast_en_006,fp16_target_fp16_draft,0.2749,0.3973,0.12240000000000001,1,0.6919204631261011,0.4211,1.6,5.0,0.278919,0.109655,0.008726000000000012,0.0,0.7020362446513969,0.2760005033979361,0.02196325195066703
fast_en_007,fp16_target_fp16_draft,0.2734,0.2857,0.012300000000000033,1,0.9569478473923695,0.6154,2.0,4.0,0.190844,0.087065,0.007790999999999992,0.0,0.6679873993699685,0.30474273713685684,0.02726986349317463
fast_en_008,fp16_target_fp16_draft,0.286,0.3017,0.015700000000000047,1,0.947961551209811,0.6429,2.25,4.0,0.207708,0.086836,0.0071560000000000235,-5.551115123125783e-17,0.6884587338415644,0.28782234007292007,0.02371892608551549
fast_en_009,fp16_target_fp16_draft,0.27,0.3143,0.044300000000000006,1,0.8590518612790328,0.6,2.25,4.0,0.218459,0.088175,0.007666000000000034,0.0,0.6950652243079859,0.28054406617881006,0.024390709513204052
fast_en_010,fp16_target_fp16_draft,0.2697,0.5105,0.24079999999999996,1,0.5283055827619981,0.2083,0.71,7.0,0.347545,0.149857,0.01309799999999997,0.0,0.6807933398628796,0.2935494613124388,0.02565719882468163
