sample_id,profile,baseline_latency_s,spec_latency_s,extra_vs_baseline_s,is_slower_than_baseline,speedup_baseline_over_spec,alpha,B_eff,n_verify_steps,draft_elapsed_s,verify_elapsed_s,other_elapsed_s,timing_remainder_s,draft_share_of_spec,verify_share_of_spec,other_share_of_spec
fast_en_001,int8_target_fp16_draft,2.0393,0.9231,-1.1161999999999999,0,2.2091864370057412,0.6154,2.0,4.0,0.193499,0.717999,0.011602000000000001,0.0,0.20961867619976168,0.777812804679883,0.012568519120355325
fast_en_002,int8_target_fp16_draft,1.7561,1.1621,-0.5940000000000001,0,1.5111436193098702,0.4444,1.6,5.0,0.266128,0.884507,0.011464999999999947,-2.220446049250313e-16,0.2290061096291197,0.761128130109285,0.009865760261595344
fast_en_003,int8_target_fp16_draft,1.8286,1.1564,-0.6721999999999999,0,1.581286751988931,0.3889,1.4,5.0,0.265898,0.876884,0.01361800000000013,0.0,0.22993600830162575,0.7582877896921479,0.011776202006226331
fast_en_004,int8_target_fp16_draft,2.0215,1.1531,-0.8684000000000001,0,1.753100338218715,0.4118,1.4,5.0,0.251983,0.88982,0.01129699999999989,0.0,0.21852658052207094,0.7716763507067904,0.009797068771138574
fast_en_005,int8_target_fp16_draft,1.685,0.9423,-0.7427,0,1.78817786267643,0.6,2.25,4.0,0.222169,0.708622,0.011509000000000102,0.0,0.2357731083519049,0.7520131592910962,0.01221373235699894
fast_en_006,int8_target_fp16_draft,1.8046,0.9447,-0.8599,0,1.9102360537736849,0.6,2.25,4.0,0.22096,0.714527,0.009213000000000027,0.0,0.2338943579972478,0.756353339684556,0.009752302318196281
fast_en_007,int8_target_fp16_draft,1.8308,0.9223,-0.9085,0,1.9850374064837906,0.6,2.25,4.0,0.222623,0.690718,0.00895899999999994,0.0,0.24137807654776103,0.7489081643716795,0.009713759080559405
fast_en_008,int8_target_fp16_draft,2.0172,1.333,-0.6841999999999999,0,1.513278319579895,0.3333,1.17,6.0,0.307168,1.012547,0.01328499999999977,2.220446049250313e-16,0.23043360840210053,0.7596001500375095,0.009966241560389924
fast_en_009,int8_target_fp16_draft,1.712,0.9196,-0.7924,0,1.8616789908655937,0.6,2.25,4.0,0.219349,0.69028,0.009970999999999952,0.0,0.2385265332753371,0.7506307090039148,0.0108427577207481
fast_en_010,int8_target_fp16_draft,1.781,1.3639,-0.4171,0,1.3058142092528777,0.3043,1.17,6.0,0.332505,1.017889,0.013505999999999796,0.0,0.2437898672923235,0.7463076471882104,0.009902485519466087
