mode,k,max_new_tokens,prompt_bucket,sample_idx,prompt_tokens,baseline_latency_s,spec_latency_s,speedup,alpha,draft_s,verify_s,other_s,draft_share,verify_share,other_share
Deterministic,2,12,short,1,10,0.7026,0.4435,1.584216459977452,0.38461538461538464,0.238829,0.202878,0.001792999999999989,0.5385095828635852,0.45744757609921083,0.004042841037204034
Deterministic,2,12,short,2,10,0.3661,0.3765,0.9723771580345285,0.5454545454545454,0.206274,0.168839,0.0013869999999999993,0.5478725099601593,0.4484435590969455,0.0036839309428950847
Deterministic,2,12,medium,1,40,0.3567,0.5234,0.6815055406954529,0.26666666666666666,0.29617,0.225143,0.0020869999999999778,0.5658578525028659,0.43015475735575087,0.003987390141383221
Deterministic,2,12,medium,2,40,0.3548,0.3097,1.1456247981917986,0.7777777777777778,0.169391,0.139328,0.0009809999999999541,0.546951888924766,0.44988052954472074,0.0031675815305132523
Deterministic,2,12,long,1,284,0.3766,0.4895,0.7693564862104187,0.35714285714285715,0.274006,0.213674,0.0018199999999999605,0.5597671092951992,0.43651481103166495,0.0037180796731357724
Deterministic,2,12,long,2,284,0.3742,0.3433,1.0900087387124964,0.7,0.190097,0.152171,0.0010320000000000051,0.5537343431401107,0.44325953976114185,0.0030061170987474664
Deterministic,2,32,short,1,10,0.9215,1.1065,0.8328061455038409,0.4,0.629619,0.472772,0.004108999999999974,0.5690185268865793,0.4272679620424763,0.0037135110709443954
Deterministic,2,32,short,2,10,0.906,1.2422,0.7293511511833843,0.34210526315789475,0.715889,0.52148,0.004830999999999919,0.5763073579133795,0.41980357430365484,0.0038890677829656406
Deterministic,2,32,medium,1,40,0.94,1.2502,0.7518796992481203,0.3076923076923077,0.720801,0.524173,0.005225999999999953,0.5765485522316429,0.4192713165893457,0.004180131179011321
Deterministic,2,32,medium,2,40,0.8884,1.1577,0.7673836054245486,0.35135135135135137,0.658325,0.494996,0.004378999999999911,0.5686490455212923,0.4275684546946532,0.003782499784054514
Deterministic,2,32,long,1,284,0.9114,1.1589,0.7864354128915351,0.34210526315789475,0.659592,0.494985,0.004323000000000077,0.5691535076365518,0.4271162309086202,0.00373026145482792
Deterministic,2,32,long,2,284,0.9074,1.1144,0.8142498205312275,0.3888888888888889,0.635151,0.475288,0.003961000000000048,0.5699488513998564,0.42649676956209615,0.0035543790380474223
Deterministic,2,64,short,1,10,1.7533,2.1806,0.8040447583233973,0.3888888888888889,1.261926,0.910628,0.008045999999999998,0.5787058607722645,0.4176043290837384,0.003689810143997064
Deterministic,2,64,short,2,10,1.9942,2.7444,0.7266433464509546,0.3888888888888889,1.605023,1.129791,0.009586000000000094,0.5848356653549045,0.41167140358548315,0.003492931059612336
Deterministic,2,64,medium,1,40,2.1017,2.7825,0.7553279424977538,0.3037974683544304,1.614142,1.157677,0.010681000000000163,0.5801049415992812,0.41605642407906557,0.003838634321653248
Deterministic,2,64,medium,2,40,1.9046,2.2993,0.8283390597138259,0.36486486486486486,1.332143,0.958708,0.00844900000000004,0.5793689383725482,0.4169564650110903,0.0036745966163615183
Deterministic,2,64,long,1,284,1.7719,1.9703,0.8993046744150638,0.515625,1.124364,0.839588,0.00634800000000002,0.5706562452418413,0.42612191036897934,0.003221844389179323
Deterministic,2,64,long,2,284,1.7774,2.3209,0.7658236029126633,0.36,1.315704,0.996999,0.00819700000000001,0.5668938773751562,0.4295743030720841,0.0035318195527597094
Deterministic,4,12,short,1,10,0.3286,0.3429,0.9582968795567222,0.6153846153846154,0.231332,0.110597,0.0009709999999999719,0.674634004082823,0.3225342665500146,0.0028317293671623564
Deterministic,4,12,short,2,10,0.3291,0.5026,0.6547950656585754,0.3157894736842105,0.331694,0.169175,0.0017310000000000658,0.6599562276163946,0.3365996816553919,0.0034440907282134213
Deterministic,4,12,medium,1,40,0.3305,0.4418,0.748076052512449,0.4117647058823529,0.302222,0.138311,0.0012670000000000459,0.6840697148030782,0.3130624717066546,0.002867813490267193
Deterministic,4,12,medium,2,40,0.3314,0.2985,1.1102177554438861,0.75,0.211987,0.085836,0.0006769999999999832,0.7101742043551089,0.2875577889447236,0.002268006700167448
Deterministic,4,12,long,1,284,0.3491,0.4572,0.7635608048993876,0.4117647058823529,0.302028,0.153924,0.0012479999999999714,0.6606036745406825,0.33666666666666667,0.002729658792650856
Deterministic,4,12,long,2,284,0.3533,0.4932,0.7163422546634225,0.42105263157894735,0.336642,0.155407,0.0011510000000000409,0.682566909975669,0.31509935117599347,0.002333738848337471
Deterministic,4,32,short,1,10,0.8821,1.1403,0.7735683592037182,0.43478260869565216,0.81353,0.323353,0.0034170000000001144,0.713435060948873,0.2835683592037183,0.0029965798474086767
Deterministic,4,32,short,2,10,0.8729,1.3579,0.6428308417409234,0.32142857142857145,0.981361,0.372765,0.003774000000000055,0.7227049119964651,0.27451579645040136,0.002779291553133555
Deterministic,4,32,medium,1,40,0.8764,1.3114,0.6682934268720452,0.33962264150943394,0.932035,0.37535,0.004014999999999935,0.7107175537593412,0.2862208326978802,0.0030616135427786605
Deterministic,4,32,medium,2,40,0.8768,1.4648,0.5985800109229928,0.3,1.055259,0.405529,0.004012000000000182,0.7204116602949208,0.2768493992353905,0.0027389404696888187
Deterministic,4,32,long,1,284,0.8998,1.4412,0.6243408270885373,0.3103448275862069,1.016469,0.420796,0.003934999999999966,0.7052935054121565,0.2919761310019428,0.002730363585900615
Deterministic,4,32,long,2,284,0.9045,1.2021,0.7524332418268032,0.4375,0.858396,0.340716,0.0029879999999998796,0.7140803593711006,0.283433990516596,0.0024856501123033687
Deterministic,4,64,short,1,10,1.7456,2.7695,0.630294276945297,0.30973451327433627,1.993104,0.768519,0.007876999999999912,0.7196620328579166,0.27749377143888787,0.002844195703195491
Deterministic,4,64,short,2,10,1.751,2.8256,0.6196913929784824,0.3017241379310345,2.04022,0.777369,0.00801099999999999,0.7220484144960363,0.2751164354473386,0.002835150056625138
Deterministic,4,64,medium,1,40,1.7435,3.1156,0.5596032866863525,0.24603174603174602,2.235804,0.870239,0.00955700000000026,0.7176158685325459,0.2793166645268969,0.0030674669405572792
Deterministic,4,64,medium,2,40,1.7601,2.8002,0.6285622455538891,0.30434782608695654,2.019537,0.77268,0.00798299999999963,0.7212116991643455,0.2759374330404971,0.0028508677951573566
Deterministic,4,64,long,1,284,1.7671,2.1256,0.8313417388031614,0.4883720930232558,1.510511,0.609765,0.005323999999999995,0.7106280579601054,0.28686723748588633,0.002504704554008278
Deterministic,4,64,long,2,284,1.7849,2.7524,0.6484885917744513,0.32727272727272727,1.948794,0.795928,0.007678000000000296,0.7080344426682168,0.289175991861648,0.002789565470135262
Deterministic,8,12,short,1,10,0.3322,0.3833,0.8666840594834334,0.5294117647058824,0.298065,0.0846,0.000634999999999955,0.777628489433864,0.22071484476911035,0.0016566657970257111
Deterministic,8,12,short,2,10,0.3308,0.7544,0.4384941675503712,0.1935483870967742,0.576344,0.176051,0.002004999999999979,0.7639766702014846,0.23336558854718986,0.002657741251325529
Deterministic,8,12,medium,1,40,0.3834,0.7724,0.49637493526670123,0.22580645161290322,0.612586,0.158143,0.0016710000000000058,0.7930942516830658,0.20474236147074057,0.0021633868461936896
Deterministic,8,12,medium,2,40,0.3464,0.3938,0.8796343321482987,0.5294117647058824,0.307124,0.085933,0.0007429999999999798,0.7798984255967497,0.21821482986287455,0.001886744540375774
Deterministic,8,12,long,1,284,0.3571,0.6627,0.5388561943564207,0.26666666666666666,0.52978,0.131731,0.00118899999999994,0.7994265881997888,0.19877923645691867,0.0017941753432925006
Deterministic,8,12,long,2,284,0.3568,0.5289,0.6746076763093212,0.375,0.422014,0.106067,0.0008190000000000419,0.7979088674607676,0.2005426356589147,0.0015484968803177194
Deterministic,8,32,short,1,10,0.8872,1.5315,0.5793013385569703,0.30985915492957744,1.247561,0.280986,0.00295300000000015,0.8146007182500815,0.18347110675808032,0.0019281749918381651
Deterministic,8,32,short,2,10,0.887,2.0188,0.4393699227263721,0.1956521739130435,1.626695,0.387912,0.004193000000000169,0.8057732316227462,0.19214979195561718,0.0020769764216366994
Deterministic,8,32,medium,1,40,0.8779,2.1195,0.41420146260910595,0.19,1.757356,0.35806,0.004084000000000032,0.8291370606275065,0.16893606982778958,0.0019268695447039548
Deterministic,8,32,medium,2,40,0.879,2.2421,0.39204317381026715,0.18095238095238095,1.852919,0.385086,0.004095000000000237,0.8264212122563667,0.1717523750055751,0.0018264127380581763
Deterministic,8,32,long,1,284,0.8933,1.7986,0.49666407205604357,0.25301204819277107,1.450077,0.344891,0.003631999999999913,0.8062253975314133,0.19175525408651173,0.002019348382074899
Deterministic,8,32,long,2,284,0.9005,2.064,0.4362887596899225,0.21052631578947367,1.683985,0.37629,0.0037249999999999783,0.8158842054263566,0.1823110465116279,0.0018047480620154933
Deterministic,8,64,short,1,10,1.7377,3.5074,0.49543821634258994,0.25,2.86299,0.637439,0.0069710000000001715,0.8162713120830244,0.1817411757997377,0.001987512117237889
Deterministic,8,64,short,2,10,1.7444,4.3432,0.40163934426229503,0.18446601941747573,3.592437,0.74253,0.00823300000000049,0.8271405875851905,0.17096380548904033,0.0018956069257691308
Deterministic,8,64,medium,1,40,1.7513,4.7958,0.36517369364860924,0.14666666666666667,3.94481,0.841449,0.00954099999999991,0.8225551524250386,0.17545539847366445,0.0019894491012969495
Deterministic,8,64,medium,2,40,1.7488,4.3702,0.4001647521852547,0.1890547263681592,3.619061,0.742748,0.008390999999999815,0.8281225115555353,0.16995743901880922,0.0019200494256555343
Deterministic,8,64,long,1,284,1.804,2.5736,0.7009636307118434,0.39669421487603307,2.113848,0.45524,0.0045119999999999605,0.8213584084550823,0.1768884053465962,0.0017531861983214022
Deterministic,8,64,long,2,284,1.7757,3.9825,0.4458757062146893,0.21081081081081082,3.24326,0.731643,0.007597000000000076,0.8143779033270558,0.1837145009416196,0.001907595731324564
