task,sample_id,repeat,max_new_tokens,bucket,latency_s,draft_elapsed_s,verify_elapsed_s,ttft_ms,num_tokens
gsm8k,gsm8k_2,0,16,short,0.8719,0.719331,0.15145,520.6,16
gsm8k,gsm8k_2,0,64,medium,2.9332,2.448165,0.481321,176.47,64
gsm8k,gsm8k_2,0,160,long,5.9945,4.994914,0.991335,181.69,160
gsm8k,gsm8k_11,0,16,short,0.3325,0.270473,0.061734,190.61,16
gsm8k,gsm8k_11,0,64,medium,1.3859,1.134658,0.249614,183.64,64
gsm8k,gsm8k_11,0,160,long,4.0417,3.344147,0.692852,184.52,160
gsm8k,gsm8k_15,0,16,short,0.6155,0.476118,0.13829,166.32,16
gsm8k,gsm8k_15,0,64,medium,3.665,3.050498,0.608907,165.51,64
gsm8k,gsm8k_15,0,160,long,6.4439,5.376609,1.058523,165.93,160
gsm8k,gsm8k_21,0,16,short,0.6216,0.488028,0.132498,166.83,16
gsm8k,gsm8k_21,0,64,medium,2.1042,1.736942,0.364333,165.0,64
gsm8k,gsm8k_21,0,160,long,6.1139,5.068693,1.035883,162.61,160
gsm8k,gsm8k_22,0,16,short,0.3071,0.247331,0.059614,167.36,16
gsm8k,gsm8k_22,0,64,medium,1.7993,1.487051,0.309909,166.92,64
gsm8k,gsm8k_22,0,160,long,4.8516,4.029417,0.815981,164.27,160
gsm8k,gsm8k_32,0,16,short,0.41,0.325504,0.083771,163.87,16
gsm8k,gsm8k_32,0,64,medium,2.0425,1.684549,0.354868,164.74,64
gsm8k,gsm8k_32,0,160,long,5.183,4.318283,0.857008,164.85,160
mmlu,mmlu_abstract_algebra_0,0,16,short,0.58,0.441805,0.136973,167.95,16
mmlu,mmlu_abstract_algebra_0,0,64,medium,2.4501,2.009547,0.436811,167.66,64
mmlu,mmlu_abstract_algebra_0,0,160,long,5.8626,4.868377,0.986033,166.36,160
mmlu,mmlu_abstract_algebra_1,0,16,short,0.6176,0.484111,0.132384,164.6,16
mmlu,mmlu_abstract_algebra_1,0,64,medium,1.9811,1.617617,0.360635,163.9,64
mmlu,mmlu_abstract_algebra_1,0,160,long,4.7707,3.97959,0.784755,164.35,160
mmlu,mmlu_abstract_algebra_2,0,16,short,0.6239,0.515456,0.10756,164.91,16
mmlu,mmlu_abstract_algebra_2,0,64,medium,2.2623,1.846084,0.412898,164.57,64
mmlu,mmlu_abstract_algebra_2,0,160,long,5.8163,4.852905,0.955257,164.91,160
mmlu,mmlu_abstract_algebra_3,0,16,short,0.4724,0.389103,0.082721,164.66,16
mmlu,mmlu_abstract_algebra_3,0,64,medium,2.0591,1.697578,0.358604,164.78,64
mmlu,mmlu_abstract_algebra_3,0,160,long,5.5246,4.581714,0.934745,181.9,160
mmlu,mmlu_abstract_algebra_4,0,16,short,0.4717,0.38778,0.083355,164.3,16
mmlu,mmlu_abstract_algebra_4,0,64,medium,2.804,2.364872,0.435607,162.4,64
mmlu,mmlu_abstract_algebra_4,0,160,long,8.1888,6.839646,1.336919,164.51,160
mmlu,mmlu_abstract_algebra_5,0,16,short,0.5627,0.454316,0.107515,166.28,16
mmlu,mmlu_abstract_algebra_5,0,64,medium,2.2877,1.899952,0.384484,168.97,64
mmlu,mmlu_abstract_algebra_5,0,160,long,5.8599,4.892996,0.958675,165.26,160
cnndm,cnndm_3,0,16,short,0.7054,0.5361,0.168079,178.77,16
cnndm,cnndm_3,0,64,medium,2.3445,1.921191,0.41956,176.02,64
cnndm,cnndm_3,0,160,long,6.3695,5.269108,1.090094,183.6,160
cnndm,cnndm_31,0,16,short,1.8721,1.105985,0.763757,880.97,16
cnndm,cnndm_31,0,64,medium,4.4782,3.306102,1.165883,859.43,64
cnndm,cnndm_31,0,160,long,9.9587,7.808061,2.135451,889.9,160
cnndm,cnndm_70,0,16,short,0.6467,0.521489,0.124167,180.85,16
cnndm,cnndm_70,0,64,medium,3.5156,2.918745,0.591378,180.99,64
cnndm,cnndm_70,0,160,long,7.3118,6.095521,1.205011,177.84,160
cnndm,cnndm_165,0,16,short,0.9761,0.650897,0.323898,387.05,16
cnndm,cnndm_165,0,64,medium,2.7322,2.11448,0.613505,376.64,64
cnndm,cnndm_165,0,160,long,7.5565,6.158891,1.386026,373.3,160
cnndm,cnndm_297,0,16,short,0.5243,0.380084,0.143583,229.56,16
cnndm,cnndm_297,0,64,medium,2.7471,2.232448,0.510354,228.32,64
cnndm,cnndm_297,0,160,long,6.8189,5.664775,1.143769,225.19,160
cnndm,cnndm_339,0,16,short,0.4049,0.262393,0.142093,250.0,16
cnndm,cnndm_339,0,64,medium,2.6028,2.098095,0.500878,237.69,64
cnndm,cnndm_339,0,160,long,6.8223,5.642628,1.16939,254.81,160
