mode,k,max_new_tokens,prompt_bucket,n,prompt_tokens_mean,speedup_mean,alpha_mean,spec_latency_mean_s,baseline_latency_mean_s,draft_share_mean,verify_share_mean,other_share_mean
Deterministic,2,12,long,2,284.0,0.8805680184101595,0.5285714285714286,0.32530000000000003,0.27880000000000005,57.067956816633156,39.483623251313716,3.448419932053126
Deterministic,2,12,medium,2,40.0,0.8752392986015168,0.5222222222222223,0.32985,0.27305,55.264145870131685,42.084473280751766,2.6513808491165447
Deterministic,2,12,short,2,10.0,1.2066669389718663,0.465034965034965,0.33325,0.41125,54.982806876613985,42.53313023903858,2.4840628843474417
Deterministic,2,32,long,2,284.0,0.7367375005093517,0.3654970760233918,0.991,0.72985,57.218113361313726,39.93171906197791,2.850167576708362
Deterministic,2,32,medium,2,40.0,0.7190054214690921,0.3295218295218295,1.0156,0.7298,56.86455449187928,40.55901559021565,2.576429917905064
Deterministic,2,32,short,2,10.0,0.7458377442505592,0.3710526315789474,0.9628,0.7173499999999999,57.096335576923785,40.23618141544774,2.667483007628483
Deterministic,2,64,long,2,284.0,0.7909162088283167,0.4378125,1.84635,1.4515500000000001,57.258087563687376,39.98608177681001,2.7558306595026054
Deterministic,2,64,medium,2,40.0,0.7178974744569445,0.3343311666096476,2.02785,1.45385,57.36806622998741,40.06910671404997,2.5628270559626083
Deterministic,2,64,short,2,10.0,0.7632739667244983,0.3888888888888889,1.9015499999999999,1.4514,57.67902617546626,39.82640126993058,2.4945725546031543
Deterministic,4,12,long,2,284.0,0.7058283135492729,0.41640866873065013,0.39390000000000003,0.27785,69.81817370909127,27.322125146368936,2.859701144539795
Deterministic,4,12,medium,2,40.0,0.9023538175552241,0.5808823529411764,0.3175,0.2763,69.95128969625452,28.174598717277743,1.8741115864677256
Deterministic,4,12,short,2,10.0,0.785725031870838,0.46558704453441296,0.3597,0.273,67.49341467985315,30.365245082125142,2.1413402380217152
Deterministic,4,32,long,2,284.0,0.6928623935311695,0.4051724137931034,1.0466,0.71075,72.16632146025933,25.835240820139422,1.9984377196012495
Deterministic,4,32,medium,2,40.0,0.6163601416743935,0.31981132075471697,1.1578,0.71165,72.10338019070926,26.195222199222723,1.7013976100680288
Deterministic,4,32,short,2,10.0,0.6894978813521331,0.3781055900621118,1.0601500000000001,0.72555,72.29282014625215,25.95686877652793,1.7503110772199157
Deterministic,4,64,long,2,284.0,0.7186092000825444,0.41871434839842037,2.02485,1.43955,71.79347565122215,26.281766377371753,1.9247579714060965
Deterministic,4,64,medium,2,40.0,0.5774738960705247,0.2751897860593513,2.45805,1.4159000000000002,72.25346589964985,26.080803846413847,1.665730253936313
Deterministic,4,64,short,2,10.0,0.6116250542692634,0.3057293256026854,2.3195,1.4186,72.49953280759892,25.811156445091587,1.6893107473094922
Deterministic,8,12,long,2,284.0,0.5579974892701183,0.3208333333333333,0.503,0.2782,82.82798448563766,15.477771316141775,1.6942441982205645
Deterministic,8,12,medium,2,40.0,0.6496185264000225,0.3776091081593928,0.46214999999999995,0.27615,78.59812492719097,19.935364026877895,1.4665110459311368
Deterministic,8,12,short,2,10.0,0.6397937017000179,0.36148007590132825,0.46940000000000004,0.2743,77.34579179176657,21.299468562986405,1.3547396452470224
Deterministic,8,32,long,2,284.0,0.4545439155827667,0.23176918199112237,1.6169,0.73295,82.32900369960218,16.38735593064921,1.2836403697486107
Deterministic,8,32,medium,2,40.0,0.3916998919140072,0.18547619047619046,1.8523999999999998,0.7252000000000001,83.28232407510126,15.604763335375704,1.112912589523041
Deterministic,8,32,short,2,10.0,0.5962408590433983,0.2527556644213105,1.4909,0.8549,81.67460535885918,17.097829808987363,1.2275648321534642
Deterministic,8,64,long,2,284.0,0.5440154291912203,0.303752512843422,2.7227,1.4148,82.9023478640933,15.88605760675526,1.2115945291514436
Deterministic,8,64,medium,2,40.0,0.3775562840460971,0.16786069651741292,3.75595,1.4125,83.31834024765006,15.618251207028749,1.0634085453211939
Deterministic,8,64,short,2,10.0,0.4370698214322014,0.21723300970873788,3.2684499999999996,1.4114499999999999,83.00559183158272,15.911546583790559,1.0828615846267324
