config,draft,k,regime,label,S,T_mean_s,R_tok_mean,TTFT_mean_ms,TPOT_mean_ms,alpha,B_eff,latency_reduction_pct,throughput_gain_pct,ttft_delta_pct,tpot_delta_pct
0.5B_k4_deterministic,0.5B,4,deterministic,0.5B-k4-D,3.0674,3.721,34.09,102.35,29.06,0.4212,1.66,67.39945381775614,209.09784955303675,-56.17206517485827,-67.44218354721107
0.5B_k8_deterministic,0.5B,8,deterministic,0.5B-k8-D,2.4542,4.6508,27.77,162.76,36.73,0.3515,2.72,59.253259826826174,151.79370143994805,-30.303520545773633,-58.84898147587967
0.5B_k16_deterministic,0.5B,16,deterministic,0.5B-k16-D,1.805,6.3234,21.9,277.43,49.34,0.2539,3.76,44.59922232496617,98.56975374630402,18.800038676493138,-44.72117468063986
1.5B_k4_deterministic,1.5B,4,deterministic,1.5B-k4-D,2.8726,3.9734,31.67,114.31,31.18,0.4581,1.81,65.18811873138195,187.15543840846797,-51.050598633493394,-65.06700905031113
1.5B_k8_deterministic,1.5B,8,deterministic,1.5B-k8-D,2.4066,4.7427,26.78,179.94,37.6,0.3929,3.04,58.44810255884762,142.81726051716993,-22.946765095886622,-57.8742636398877
1.5B_k16_deterministic,1.5B,16,deterministic,1.5B-k16-D,1.8068,6.3172,21.49,313.08,49.4,0.2968,4.39,44.65354196654906,94.85223780858783,34.06594855940766,-44.65395276091628
0.5B_k4_stochastic,0.5B,4,stochastic,0.5B-k4-S,2.9394,3.9631,32.06,105.26,30.89,0.408,1.61,65.97954843011853,196.01096145394382,-54.8125668114831,-66.09573449436876
0.5B_k8_stochastic,0.5B,8,stochastic,0.5B-k8-S,2.4063,4.8411,26.78,165.95,38.04,0.3444,2.67,58.44253031844939,147.26055981711212,-28.75874465481304,-58.248033025761984
0.5B_k16_stochastic,0.5B,16,stochastic,0.5B-k16-S,1.8185,6.4059,21.51,278.85,49.81,0.2516,3.73,45.009812845624964,98.60248848641082,19.70849082859527,-45.32950906974774
1.5B_k4_stochastic,1.5B,4,stochastic,1.5B-k4-S,2.786,4.1813,30.21,116.76,32.68,0.4421,1.75,64.10645349621625,178.92985481982663,-49.87569162938217,-64.13106517565461
1.5B_k8_stochastic,1.5B,8,stochastic,1.5B-k8-S,2.3444,4.9688,25.59,184.02,39.41,0.3822,2.96,57.34631481405288,136.2732533875989,-21.00141121650313,-56.74434756953942
1.5B_k16_stochastic,1.5B,16,stochastic,1.5B-k16-S,1.7773,6.5544,20.7,319.72,51.36,0.2928,4.36,43.73504383698844,91.1237336898514,37.2537159322879,-43.62825910102879
